"","ktitle","title","replyNo","Tdate","Tauthor","author","authorclass","date","rPostNo","authorcredit","text"
"1",1,"自己的腰痠背痛自己救","0","2017-11-16 16:32","vivavida7749","vivavida7749","進階會員","2017-11-16 16:32","#1","29","板上偶爾有人在討論背痛或是腰痛問題
然而上班族會腰痠背痛的原因不外乎：坐姿不正確 (我就是)、搬重物
姊爬文看了一下，腰酸背痛的主因是肌肉緊繃，可透過『肌肉伸展』改善下背疼痛症狀。
肌肉伸展最重要的部分是：核心肌群 和 大腿後肌群。
講這麼多，還是來看教學影片最實在，感謝姊夫和翻譯者呀!只能幫分享回報了"
"2",1,"自己的腰痠背痛自己救","0","2017-11-16 16:32","vivavida7749","ujm","資深會員","2017-11-16 19:34","#2","32","

vivavida7749 wrote:
板上偶爾有人在討論背...(恕刪)

感覺是貼錯了⋯⋯應該是下背痛那幾篇...Jeff和譯者都佛心來著
https://youtu.be/Z3-mYrVjBEo
https://youtu.be/gYsXOKAfxTs
https://youtu.be/vw-LIovZ_Os
https://youtu.be/oXj3O0quR0E"
"3",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","kevin0921185","資深會員","2011-06-02 16:12","#1","8","不管你是不是小牛迷
不管你支持哪一隊
不管今年總冠軍你看好哪邊...
請靜下心來好好欣賞
以下這篇文章是我看過最好的NBA文章之一
很多人認為結果很重要
但是對我來說
不管最後結果如何
Dirk Nowitzki都是讓我最敬佩的偉大球星
此文轉自巴哈姆特-NBA版德國坦克Dirk Nowitzki - 我可以得分，我可以創造屬於我的未來"
"4",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","kenyeh99","資深會員","2011-06-02 16:26","#2","26","

kevin0921185 wrote:
不管你是不是小牛迷不...(恕刪)

Dirk 不錯，以前nash在的時候二個人的搭配我就覺得超強了，可惜小牛在中鋒這個位置上一直都補不到樣的人材，直到今年拳王加盟才算補到一個正經的，可惜今年又遇到熱火dirk的運氣太差了"
"5",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","70310tom","進階會員","2011-06-02 17:24","#3","20","

kevin0921185 wrote:
不管你是不是小牛迷不...(恕刪)

我看完 差點要哭了,
感動..."
"6",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","大紅荳","資深會員","2011-06-02 17:36","#4","10","他平常得分能力跳投穩定度無話可說,但是在強大防守壓力下往往無法突圍
所以要說他fade away無解? karl malone不用後仰就無解了~要不是遇到jordan
~""~"
"7",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","utt0624","一般會員","2011-06-02 18:22","#5","28333386","

太感人了
德佬~加油呀!!!
我相信今年一定會拿下總冠軍的!!
跟了十年的小牛迷~我們要的就是總冠軍!!!!!"
"8",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","神4843","資深會員","2011-06-02 19:42","#6","10","

kenyeh99 wrote:
遇到熱火dirk的運氣太差

還好啦
他遇到打擺子的lakers自爆
本來我想說玫瑰能攔胡一下LCD
拳怕少壯嘛"
"9",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","哎呀不得了","資深會員","2011-06-02 20:04","#7","19","

大紅荳 wrote:
他平常得分能力跳投穩...(恕刪)

馬龍投籃也是伸腳後仰...
回正題
巴哈那篇文章真的好看
是我看過NBA文章第二讚的
(看過最好的是當初國王對湖人前有人分析國王五虎的歷史)
我支持過國王、馬刺
小牛一直以來都是最大的勁敵
原來我最欣賞的球員，就是過去最痛恨的敵人啊
德佬加油!!"
"10",2,"德國坦克Dirk Nowitzki - 我可以得分，我可以創...","33","2011-06-02 16:12","kevin0921185","大頭祥","資深會員","2011-06-02 22:52","#8","58","很希望小牛可以如願，但是.....
熱火今年太強了!
只靠Dirk是不夠的!
kidd、peja也要加油才行，
還有，我對小牛總教練有點期待!"
