"","ktitle","title","replyNo","Tdate","Tauthor","author","authorclass","date","rPostNo","authorcredit","text"
"1",501,"健身同好福華店或內湖店","2","2016-03-08 16:37","台北廚餘","台北廚餘","資深會員","2016-03-08 16:37","#1","91","有人是在台北內湖或是台中想找同好一起運動的嗎?
我有AFAA的教練證照.我想找人一起運動.(我不是找學生,單純一起運動)"
"2",501,"健身同好福華店或內湖店","2","2016-03-08 16:37","台北廚餘","Eugene1314","新進會員","2016-10-31 02:41","#2","62212582","我下个月开始会在內湖富华wg练，我也在找个人一起练，我没经验，是个菜鸟，如你不介意的话，一起吧"
"3",501,"健身同好福華店或內湖店","2","2016-03-08 16:37","台北廚餘","潮感","新進會員","2016-11-20 04:38","#3","62437053","我可以嗎？我在福華店，都早上九點前去的😁"
"4",502,"Adidas 訪鞋網!!","0","2016-11-18 13:38","allen11212915","allen11212915","一般會員","2016-11-18 13:38","#1","62420277","Hi All
http://www.adidasoriginals.com.tw/
這是訪鞋網站，請自己小心，買到訪鞋，腳or膝蓋會受傷!!
花幾千元買訪鞋，一點都不值得!!
請自己斟酌小心!!
謝謝"
"5",503,"請問World GYM 的Virtual Cycling 與 ICG視覺飛輪有何差別?","7","2016-11-09 22:15","hans4134","hans4134","新進會員","2016-11-09 22:15","#1","62323344","請問有去過World GYM的網友，Virtual Cycling 與 ICG視覺飛輪有何差別?
覺得能夠一邊看好看的風景一邊騎，會比枯燥的自己踩有趣得多。
點進去World Gym 的課程介紹，Virtual Cycling的說明是空的。
http://www.worldgymtaiwan.com/zh-tw/schedule#infor!id=1
搜尋這兩個關鍵字，除了GYM都沒有其他相關的。
看來目前還沒有其他健身中心引進。"
"6",503,"請問World GYM 的Virtual Cycling 與 ICG視覺飛輪有何差別?","7","2016-11-09 22:15","hans4134","Worldgym","高級會員","2016-11-10 17:59","#2","2","您好，我是World Gym的網路客服，Virtual Cycling是ICG視覺模擬的英文，故指的是同一堂課，官網上有會提供兩個的名稱分別，差別在Virtual Cycling 是電腦影片教學，ICG視覺模擬飛輪是有實際的老師於現場教學，以上讓您知悉，若有其他可協助的地方，再請您不吝讓我知道，感謝。"
"7",503,"請問World GYM 的Virtual Cycling 與 ICG視覺飛輪有何差別?","7","2016-11-09 22:15","hans4134","hans4134","新進會員","2016-11-10 21:33","#3","62334970","我上網Google 了一下，找到http://sport.leeds.ac.uk/wp-content/uploads/2015/11/Class-Descriptions-2015.pdf
重點節錄
My Ride:
My Ride delivers a sensational Indoor Cycling video experience. The classes are virtually instructed providing users with a flexible and engaging approach to experiencing Indoor Cycling. Classes are offered at three levels; beginners, intermediate, and advanced. Beginner classes include a demonstration of how to set up your bike and an introduction to cycling.
My Sportif
A development of the My Ride session with the added benefit of taking a cycle ride through worldwide destinations with background music and guidance on effort levels.
這樣看起來，ICG視覺模擬飛輪比較像My Sportif，因為有世界的風景。
只不過也是影片教學!!
另外，如果如您講的""Virtual Cycling 是電腦影片教學，ICG視覺模擬飛輪是有實際的老師於現場教學""。
以南京店為例，通通都是Virtual Cycling，都是電腦影片教學的話，怎麼會有些課程看起來是老師的英文名子??
以公館店為例，全部課程名稱都是ICG視覺模擬飛輪，但好幾堂都是Tour教的。
我猜這應該是影片教學吧?"
"8",503,"請問World GYM 的Virtual Cycling 與 ICG視覺飛輪有何差別?","7","2016-11-09 22:15","hans4134","我該愛誰呢","資深會員","2016-11-11 13:06","#4","109","基本上是一樣的東西
差在有沒有老師帶而已
有些店會有搖擺飛輪騎起來又不太一樣
我是比較喜歡固定式的飛輪"
"9",503,"請問World GYM 的Virtual Cycling 與 ICG視覺飛輪有何差別?","7","2016-11-09 22:15","hans4134","gregliu","進階會員","2016-11-11 13:57","#5","32","

hans4134 wrote:
請問有去過World...(恕刪)

是不知道差別, 下面是在高雄某五星飯店俱樂部測試的狀況 （和WG的類似）
街景是由教練安排的,就像音樂安排一樣
效果如何見人見智,但後來沒繼續採用就是了
給您參考參考
"
"10",503,"請問World GYM 的Virtual Cycling 與 ICG視覺飛輪有何差別?","7","2016-11-09 22:15","hans4134","Worldgym","高級會員","2016-11-14 17:15","#6","2","

hans4134 wrote:
我上網Google...(恕刪)

您好，因ICG有分新版和舊版的軟體，舊版的軟體虛擬課程是用My Ride 和My Sportif來做區別，My Ride和My Sportif 差別一個為模擬看得到騎乘路況的代碼，一個則為模擬老師教室教學的代碼，以上讓您知悉，感謝。"
